title,p27-C - Global CCSD - hbar,,,
plot_type,horizontal-bar,,,
x_label,,,,
y_label,CCS (AA^2),,,
legend_labels,p27-C-k14,p27-C-k31,p27-C-k56,
legend_colors,#455189,#0a5f38,#A73030,
axis_x,axis_y_min,axis_y_max,axis_label,axis_color
1.15,820,3282,p27-C-k14 (10 mM),#455189
1.3,630,2934,p27-C-k14 (100 mM),#455189
1.45,694,3094,p27-C-k14 (200 mM),#455189
1.6,1680,3000,p27-C-k14 (MD),#455189
1.75,1238,2069,p27-C-k14 (MC),#455189
2.2,764,3053,p27-C-k31 (10 mM),#0a5f38
2.35,769,3000,p27-C-k31 (100 mM),#0a5f38
2.5,746,2963,p27-C-k31 (200 mM),#0a5f38
2.65,1600,2850,p27-C-k31 (MD),#0a5f38
2.8,1214,2093,p27-C-k31 (MC),#0a5f38
3.25,681,2333,p27-C-k56 (10 mM),#A73030
3.4,966,2476,p27-C-k56 (100 mM),#A73030
3.55,724,2500,p27-C-k56 (200 mM),#A73030
3.7,1700,2700,p27-C-k56 (MD),#A73030
3.85,1288,2139,p27-C-k56 (MC),#A73030
